cell_id,min,max,std,z_range
abfihnkk-1,14.965541,21.903101,1.1780454089271035,6.9375599999999995
abfjdfmg-1,15.092302,21.865774,1.3428036849674776,6.773471999999998
abfjjdim-1,15.13959,20.983553,1.0329635303640599,5.8439630000000005
abgbkafg-1,15.663986,23.072489,1.2873969860088537,7.408503000000001
abgbnhjh-1,15.639173,25.053947,1.884362560720337,9.414774000000001
abgcinef-1,15.072232,19.501488,0.9686778989279539,4.429255999999999
abgeacph-1,15.493895,23.459656,1.5094901563664218,7.965760999999999
abggccgc-1,14.568885,20.790358,1.5592752592025136,6.221473000000001
abgkjnpf-1,15.075368,21.114584,1.2598218493814648,6.0392160000000015
abglnnaa-1,14.566089,24.727274,1.596970517958948,10.161185000000001
abglpecg-1,15.748947,21.252249,1.2824206679960932,5.503302
abgmjfdp-1,15.643803,20.670076,1.1348245052423838,5.0262730000000015
abgmlibf-1,15.767347,19.306732,0.9484219563035504,3.539385000000001
abhcplnk-1,15.008331,19.431623,1.0054648616197461,4.423291999999998
abhijcke-1,14.812597,20.50173,1.3150167076680512,5.689132999999998
abhjidjf-1,14.633498,21.305067,1.1541501193914008,6.671569000000002
abhjobma-1,14.43921,19.708189,1.080695476729891,5.268979000000002
abhkgmdo-1,14.81832,19.338144,1.055848110353523,4.519824
abhkpphb-1,15.377446,18.897167,0.9817307982896435,3.5197209999999988
abhnjini-1,15.253352,19.306026,0.9392867249437198,4.052674
abiafgki-1,14.578229,22.567696,1.2580897592025224,7.989467000000001
abiccghp-1,14.853879,21.500914,1.2755464425639143,6.6470350000000025
abihglgg-1,15.592247,20.923288,1.2988946221414288,5.331040999999999
abiihnco-1,14.517446,18.915186,1.2399979072478688,4.397739999999999
abijkmbn-1,15.564186,19.814186,0.9818983732554767,4.25
abjajjlp-1,14.756024,22.51938,1.737705721888725,7.763356000000002
abjaokcf-1,14.855168,19.589125,1.0011273858958791,4.733956999999998
abjdojlk-1,15.062831,19.82771,1.1349449066827548,4.7648790000000005
abjgfpke-1,14.445842,20.903435,1.4210103791464337,6.457593000000001
abjgpnge-1,15.257997,19.204552,0.9686657650592618,3.946555
abjhkpaa-1,15.255624,23.33645,1.1411192964626107,8.080826
abjipkan-1,15.34359,20.947285,1.398061161235955,5.603695
abjkhbfo-1,14.574763,18.745495,1.0729959084014913,4.170731999999997
abjnadhg-1,14.664161,19.8201,1.1390581660807801,5.155939
abjnbjgi-1,14.667999,21.0301,1.4652849401592283,6.362101000000001
abkchllc-1,14.539044,20.701414,1.6221256421897037,6.162369999999999
abkgkmpk-1,14.662979,20.471945,1.591620667491171,5.808966000000002
abkphkle-1,14.899431,18.755077,0.9067941117075573,3.855646
abkpnnjf-1,14.813326,18.668411,0.9598812636401428,3.855084999999999
ablbpdjl-1,15.083241,19.485983,1.0431660125387012,4.402742000000002
ablccbde-1,14.779862,20.646816,1.5066851029360986,5.866954000000002
abldjbfg-1,14.558196,23.66604,1.4999933161724361,9.107843999999998
abljdgha-1,14.823781,20.010578,1.2001466204421396,5.1867969999999985
ablkdlga-1,14.758922,18.944178,0.9766386271566277,4.185256000000001
ablkmoop-1,15.140996,23.197174,1.328943371354616,8.056178000000001
